IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
222.101.92.121,12265,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,69 ms,8211 kB/s
210.178.81.61,20083,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,82 ms,7219 kB/s
220.70.184.199,12115,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,92 ms,6870 kB/s
121.151.83.94,10444,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,79 ms,6737 kB/s
14.39.197.208,12120,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,59 ms,6705 kB/s
221.145.191.236,10121,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,93 ms,6588 kB/s
222.117.169.58,10274,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,60 ms,6581 kB/s
112.161.221.228,10236,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,81 ms,6573 kB/s
211.251.27.149,18980,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,88 ms,6514 kB/s
221.160.73.30,20077,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,99 ms,6464 kB/s
222.104.213.148,31401,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,88 ms,6447 kB/s
125.136.152.137,15672,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,59 ms,6441 kB/s
121.160.141.47,10281,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,80 ms,6272 kB/s
112.171.121.20,12000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,130 ms,6254 kB/s
125.139.184.199,20091,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,82 ms,6253 kB/s
183.109.254.132,33392,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,112 ms,6215 kB/s
222.112.191.5,33334,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,56 ms,6205 kB/s
175.196.171.78,32771,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,63 ms,6140 kB/s
59.12.158.224,10331,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,69 ms,6085 kB/s
221.153.59.233,18004,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,83 ms,6079 kB/s
125.133.160.129,14430,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,74 ms,6063 kB/s
112.184.57.174,10378,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,68 ms,5901 kB/s
211.228.85.103,12121,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,103 ms,5896 kB/s
118.47.65.248,50000,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,85 ms,5894 kB/s
14.37.103.127,10312,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,93 ms,5883 kB/s
183.106.163.194,12125,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,92 ms,5881 kB/s
14.56.64.57,12186,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,101 ms,5830 kB/s
222.113.18.206,10004,true,ICN,KR,Asia Pacific,Seoul,亚洲,韩国,首尔,🇰🇷,103 ms,5824 kB/s
