host,ip,port,country,city,country_name,asn
https://114.34.31.6:9001,114.34.31.6,9001,CN,Taipei,中国台湾省,3462
https://111.250.3.174:10554,111.250.3.174,10554,CN,Taipei,中国台湾省,3462
https://114.44.54.22:20073,114.44.54.22,20073,CN,Taoyuan,中国台湾省,3462
https://220.135.92.105:9443,220.135.92.105,9443,CN,Taipei,中国台湾省,3462
https://36.229.28.236:4443,36.229.28.236,4443,CN,Taipei,中国台湾省,3462
https://220.130.11.140:10000,220.130.11.140,10000,CN,Taipei,中国台湾省,3462
https://220.135.84.4:12020,220.135.84.4,12020,CN,Keelung,中国台湾省,3462
https://220.135.92.105:8443,220.135.92.105,8443,CN,Taipei,中国台湾省,3462
https://114.34.106.124:10443,114.34.106.124,10443,CN,Taipei,中国台湾省,3462
https://1.34.244.239:8443,1.34.244.239,8443,CN,Taipei,中国台湾省,3462
https://36.232.41.50:23424,36.232.41.50,23424,CN,Taichung,中国台湾省,3462
https://36.231.88.202:9443,36.231.88.202,9443,CN,Banqiao,中国台湾省,3462
111.249.215.52:8080,111.249.215.52,8080,CN,Yilan,中国台湾省,3462
https://36.231.103.121:9443,36.231.103.121,9443,CN,Taipei,中国台湾省,3462
https://118.169.93.149:16080,118.169.93.149,16080,CN,Taipei,中国台湾省,3462
https://36.230.54.212:9443,36.230.54.212,9443,CN,Yilan,中国台湾省,3462
https://118.169.93.149:60000,118.169.93.149,60000,CN,Taipei,中国台湾省,3462
https://36.231.79.229:9443,36.231.79.229,9443,CN,Banqiao,中国台湾省,3462
111.249.240.193:8080,111.249.240.193,8080,CN,Taipei,中国台湾省,3462
https://59.125.113.246:10455,59.125.113.246,10455,CN,Taipei,中国台湾省,3462
https://36.231.109.232:9443,36.231.109.232,9443,CN,Taipei,中国台湾省,3462
https://111.249.71.245:9443,111.249.71.245,9443,CN,Hsinchu,中国台湾省,3462
https://114.37.222.168:60007,114.37.222.168,60007,CN,Taipei,中国台湾省,3462
111.249.242.205:8080,111.249.242.205,8080,CN,Taipei,中国台湾省,3462
https://111.250.203.4:12345,111.250.203.4,12345,CN,Taipei,中国台湾省,3462
https://1.164.204.146:10017,1.164.204.146,10017,CN,Taipei,中国台湾省,3462
